127.0.0.1 - - [01/Nov/2013:22:47:57 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:47:57 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:47:57 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:47:58 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:47:58 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:48:20 +0200] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [01/Nov/2013:22:48:22 +0200] "GET /img/js/jquery.js HTTP/1.1" 404 214
127.0.0.1 - - [01/Nov/2013:22:48:34 +0200] "GET /img/js/jquery.js HTTP/1.1" 404 214
127.0.0.1 - - [01/Nov/2013:22:48:35 +0200] "GET /img/js/jquery.js HTTP/1.1" 404 214
127.0.0.1 - - [01/Nov/2013:22:48:39 +0200] "GET / HTTP/1.1" 200 11679
127.0.0.1 - - [01/Nov/2013:22:48:39 +0200] "GET /img/style.css HTTP/1.1" 200 6702
127.0.0.1 - - [01/Nov/2013:22:48:39 +0200] "GET /js/jquery.js HTTP/1.1" 200 57254
127.0.0.1 - - [01/Nov/2013:22:48:39 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 200 1552
127.0.0.1 - - [01/Nov/2013:22:48:39 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 200 2252
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/bg1.jpg HTTP/1.1" 200 1062598
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/bg/2.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
